instant,season,yr,mnth,hr,b12h_weathersit,b9h_weathersit,b6h_weathersit,b3h_weathersit,crnt_weathersit,a3h_weathersit,a6h_weathersit,a9h_weathersit,a12h_weathersit,temp,atemp,hum,soil_hum,windspeed,CNN_decision,conclusion
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
2,2,0,2,1,2,2,2,2,2,2,2,2,2,0.1,0.1,0.1,0.1,0.1,0,0
3,3,0,3,2,3,3,3,3,3,3,3,3,3,0.2,0.2,0.2,0.2,0.2,1,1
4,4,0,4,3,4,4,4,4,4,4,4,4,4,0.3,0.3,0.3,0.3,0.3,1,1
5,1,0,5,4,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,1,1
6,2,0,6,5,2,2,2,2,2,2,2,2,2,0.5,0.5,0.5,0.5,0.5,1,1
7,3,0,7,6,3,3,3,3,3,3,3,3,3,0.6,0.6,0.6,0.6,0.6,1,1
8,4,0,8,7,4,4,4,4,4,4,4,4,4,0.7,0.7,0.7,0.7,0.7,0,0
9,1,0,9,8,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,1,1
10,2,0,10,9,2,2,2,2,2,2,2,2,2,0.9,0.9,0.9,0.9,0.9,0,0
11,3,0,11,10,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1
12,4,0,12,11,4,4,4,4,4,4,4,4,4,0,0,0,0,0,,
13,1,0,1,12,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0,0
14,2,1,2,13,2,2,2,2,2,2,2,2,2,0.2,0.2,0.2,0.2,0.2,1,1
15,3,1,3,14,3,3,3,3,3,3,3,3,3,0.3,0.3,0.3,0.3,0.3,0,0
16,4,1,4,15,4,4,4,4,4,4,4,4,4,0.4,0.4,0.4,0.4,0.4,1,1
17,1,1,5,16,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0,0
18,2,1,6,17,2,2,2,2,2,2,2,2,2,0.6,0.6,0.6,0.6,0.6,1,1
19,3,1,7,18,3,3,3,3,3,3,3,3,3,0.7,0.7,0.7,0.7,0.7,0,0
20,4,1,8,19,4,4,4,4,4,4,4,4,4,0.8,0.8,0.8,0.8,0.8,1,1
21,1,1,9,20,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0,0
22,2,1,10,21,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
23,3,1,11,22,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0
24,4,1,12,23,4,4,4,4,4,4,4,4,4,0.1,0.1,0.1,0.1,0.1,1,1
